2;5;+;7
3;6;+;10
45;6;+;51
100;23;+;123
1;56;+;58
23;78;+;101
45;45;+;90
56;2;-;54
56;2;-;53
4;2;/;2
-24;5;*;-120
4;2;/;4
4;3;/;1.3333
89;24569;/;0.0036
4;4;*;16
4;4;*;26
4;99;+;103
21;554;*;11634
45;3;*;135
56;78;*;-4368
3;7;-;-4
-23;45;+;22
112;10;/;11.2
-1;24;*;-24
0;0;-;0
-0;0;*;0
25;0;/;0
0;0;+;0
45;2;/;22.5
105;-46;-;151
56;0;-;56
346;56;-;3
569;358;-;211
1;456;*;455
22227;5699;-;16528
45829;658;-;45172
2747;4593;*;12616971
567;78;/;7.2692
456;-34575;/;-0.0131
5;7;/;57
